word,tf,df,tfidf
pum,1894,74,69.0155425
yuh,3427,289,61.35861801
dah,970,100,61.24496971
jeg,3399,298,61.02386821
bla,681,78,60.36747421
yi,731,90,59.84847423
ba,6016,576,58.45582545
doo,5999,578,58.40523987
dum,1989,270,58.29146508
ik,6832,640,58.18904152
noel,483,73,58.09195223
eg,975,161,57.53254513
blah,694,126,56.90261728
bah,702,133,56.58067084
molli,629,120,56.52505929
lala,894,171,56.43076281
nana,1045,199,56.35412409
dee,1925,350,55.85042066
nuh,1714,320,55.84954603
sha,970,207,55.51664894
jingl,1295,269,55.41355303
bam,992,215,55.37520191
wah,895,198,55.29652512
nao,786,176,55.27919197
iÌ¢,632,143,55.25538318
bop,2070,398,55.21571871
ke,1244,271,55.08102303
az,830,195,54.88029232
Ì«,544,133,54.67423496
jenni,804,195,54.6543967
ra,928,227,54.48316659
si€ª,442,110,54.46859364
baila,1344,315,54.37182354
beep,939,237,54.2271232
hij,495,129,54.18865868
woh,976,248,54.13661193
maria,1582,373,54.03955856
hallelujah,2492,521,54.03050051
dong,569,152,54.02982641
aha,1241,308,54.02615645
het,3710,684,53.96393956
aye,1146,295,53.84350337
hogi,437,120,53.76549931
jah,2601,555,53.73351105
jag,9140,1183,53.71733049
åÐ,551,154,53.6982634
iÌ¢åÛåªm,1465,368,53.65534804
mek,1081,288,53.64461178
mÌ_,1636,402,53.62824065
og,4958,852,53.57915176
lalala,537,153,53.55709091
kimi,458,130,53.55069597
claus,1026,282,53.46104452
Ì´,1310,347,53.41194585
inna,1508,388,53.40287961
ikk,842,240,53.37714301
ze,1382,364,53.36796923
meg,1336,359,53.2618918
hoo,2776,612,53.2572773
fi,2910,632,53.25045753
een,2954,639,53.24067979
tha,3018,651,53.20032853
hÌ_n,436,130,53.18174775
och,6754,1061,53.17539866
mijn,1281,351,53.17251627
yeh,1249,344,53.1712771
aaah,620,187,53.12125527
boogi,2584,595,53.07884154
regga,843,251,53.03890209
bir,269,77,53.01913396
Ì¢åÐ,691,211,52.98545109
donÌ¢åÛåªt,1215,346,52.9440335
aah,1696,449,52.92685977
‰ÛÒ,2198,543,52.90305773
salli,784,240,52.88536171
Ì_r,4288,842,52.87144854
jou,1085,319,52.85358926
mig,3091,691,52.80402591
jij,810,250,52.79622516
q,1312,375,52.7880799
oo,2291,567,52.77805786
dale,1146,338,52.75028241
iå«m,1323,380,52.73363313
jane,1468,413,52.71350377
samba,786,248,52.65173437
mij,1149,345,52.60268441
alleluia,288,89,52.60039193
yer,850,269,52.55959697
ann,860,272,52.5529174
i`m,623,205,52.47287527
sÌ_,863,278,52.40732458
anna,794,260,52.35874186
mnie,332,109,52.33906202
ohoh,1042,330,52.31720783
niet,2303,600,52.31625186
oooo,812,268,52.27829836
vete,474,161,52.27699475
muev,753,251,52.2660208
wa,2158,582,52.19092073
oi,1021,332,52.13550842
hun,696,238,52.12817518
sinÌ_,375,129,52.10590226
mm,1026,336,52.07270614
ez,455,159,52.06805325
ko,845,286,52.04582506
tÌ«,372,129,52.04566694
morena,540,190,52.01943662
ela,1375,428,52.004773
lai,666,233,51.98342765
youÌ¢åÛåªr,652,230,51.93331347
bom,1305,417,51.88719552
Ì©s,753,265,51.85258694
mun,1016,343,51.84532254
itÌ¢åÛåª,1080,362,51.81469779
ku,633,228,51.79336502
vuela,483,176,51.77465217
maar,1819,542,51.76785723
woah,3221,796,51.76454437
ka,1073,363,51.75056716
hon,890,312,51.71711605
betti,614,224,51.7131277
gira,654,239,51.66753239
rocknrol,543,201,51.64842503
fr,493,183,51.64137533
za,743,270,51.6196727
runaway,1112,380,51.61565412
donna,899,321,51.56223033
nein,993,349,51.55883723
lisa,760,278,51.55021029
wil,872,314,51.53206835
dÌ©jame,494,189,51.4236311
don`t,599,228,51.41027387
ahi,811,302,51.35141455
cu,560,216,51.3390863
donå«t,990,358,51.33830329
bij,797,298,51.33772174
gal,2966,795,51.30565031
canÌ¢åÛåªt,537,209,51.28575049
tÌÁ,602,234,51.25285666
ooo,3424,876,51.24081872
zijn,1133,405,51.2250143
vil,683,264,51.2184632
allah,732,281,51.21563931
weh,1113,401,51.19097826
att,3057,821,51.18848874
honki,566,224,51.14689542
jamaica,589,233,51.13352015
bo,1107,403,51.11670346
piu,670,263,51.11637198
whatcha,1563,525,51.11099817
bitt,952,357,51.10612416
ye,1908,606,51.10591774
ki,923,348,51.10477935
ey,1047,386,51.10370431
kad,316,124,51.08948968
ga,1859,597,51.07785462
dam,781,303,51.07504293
bye,4916,1105,51.07104687
det,8172,1456,51.05646862
rosi,636,253,51.05112742
viva,1123,411,51.05072602
voor,1212,438,51.02100521
sve,372,150,51.00234572
minÌ_,474,193,50.97935111
ska,1333,475,50.9564908
laat,530,216,50.95414137
hÌ_r,944,362,50.9422766
boom,4482,1066,50.91081778
bonni,610,249,50.88387121
ust,546,225,50.86416874
zo,914,356,50.8634369
shes,937,364,50.85088442
aldrig,909,356,50.82779204
sos,836,332,50.82255572
var,2255,704,50.79997387
wonderland,560,233,50.78431011
bu,582,242,50.77185533
ding,1513,534,50.77108628
ang,934,368,50.74455858
nÌ´r,577,241,50.74294721
taim,1069,411,50.73750512
itå«,792,321,50.7257806
oon,474,200,50.72435323
dom,1323,486,50.72262307
lou,788,320,50.71626354
booti,1652,573,50.71546232
merri,1858,623,50.71202952
yah,851,342,50.70975143
fÌ¦r,2157,693,50.67753373
naar,834,338,50.66861571
funk,2804,831,50.59086043
op,1690,592,50.57809444
voodoo,775,322,50.558794
ana,414,179,50.54718132
cha,1961,660,50.53893248
wat,1730,605,50.53508504
i‰Ûªm,3869,1020,50.52185984
rum,1291,489,50.52093262
deg,876,360,50.50074803
luci,611,263,50.48982587
tÌ_,803,335,50.4890077
ain,906,371,50.4844682
dans,834,347,50.46583964
sleigh,806,338,50.44496987
pon,1241,480,50.42730668
mami,1157,456,50.40497808
oss,768,326,50.40468222
lei,1365,518,50.39303671
pe,461,204,50.38666959
olen,481,213,50.37630796
